id,count,unicode,normalized,image
KR0001,00040519,𫠦,所,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0001.png
KR0002,00039893,,若,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0002.png
KR0003,00039566,,說,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0003.png
KR0004,00029087,,𥘉,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0004.png
KR0005,00027142,將,将,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0005.png
KR0006,00022816,,兮,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0006.png
KR0007,00022701,𤣥,玄,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0007.png
KR0008,00022501,,,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0008.png
KR0009,00021695,,寄,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0009.png
KR0010,00021187,,歲,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0010.png
KR0011,00020715,𩔖,類,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0011.png
KR0012,00018878,孤,孤,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0012.png
KR0013,00014663,,𬒳,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0013.png
KR0014,00014441,,能,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0014.png
KR0015,00012935,𥬇,笑,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0015.png
KR0016,00012850,,騎,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0016.png
KR0017,00012660,,鬼,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0017.png
KR0018,00012659,,負,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0018.png
KR0019,00012539,𫝊,傳,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0019.png
KR0020,00012053,𫝑,勢,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0020.png
KR0021,00011817,𥙊,祭,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0021.png
KR0022,00011664,,邦,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0022.png
KR0023,00011622,𫉬,獲,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0023.png
KR0024,00011348,,𥙷,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0024.png
KR0025,00011161,,從,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0025.png
KR0026,00010863,,觀,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0026.png
KR0027,00010532,龜,龜,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0027.png
KR0028,00009914,𨵿,關,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0028.png
KR0029,00009345,𠋣,倚,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0029.png
KR0030,00009128,𦘕,畫,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0030.png
KR0031,00008767,𩀱,雙,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0031.png
KR0032,00008584,𨽻,隷,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0032.png
KR0033,00008347,,直,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0033.png
KR0034,00008264,,,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0034.png
KR0035,00008257,𣗳,樹,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0035.png
KR0036,00008254,𤼵,發,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0036.png
KR0037,00008216,,棗,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0037.png
KR0038,00007869,,國,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0038.png
KR0039,00007716,㸃,點,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0039.png
KR0040,00007661,雨,雨,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0040.png
KR0041,00007559,蒙,蒙,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0041.png
KR0042,00007463,𢎞,弘,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0042.png
KR0043,00007260,𪧐,宿,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0043.png
KR0044,00007222,熱,熱,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0044.png
KR0045,00007196,,揚,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0045.png
KR0046,00006928,𨼆,隱,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0046.png
KR0047,00006706,,南,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0047.png
KR0048,00006667,,郎,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0048.png
KR0049,00006361,候,候?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0049.png
KR0050,00006316,𤓰,瓜,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0050.png
KR0051,00006222,𣈆,晉,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0051.png
KR0052,00005746,,經,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0052.png
KR0053,00005672,收,收,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0053.png
KR0054,00005576,愽,博,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0054.png
KR0055,00005557,,深,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0055.png
KR0056,00005507,,卿,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0056.png
KR0057,00005406,,尤,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0057.png
KR0058,00005171,,黎,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0058.png
KR0059,00005047,,私,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0059.png
KR0060,00005022,,竊,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0060.png
KR0061,00005005,𡊮,袁,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0061.png
KR0062,00005003,𢧐,戦,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0062.png
KR0063,00004946,,應,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0063.png
KR0064,00004930,暴,暴,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0064.png
KR0065,00004920,邉,邊,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0065.png
KR0066,00004844,𩯭,鬢,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0066.png
KR0067,00004820,,庾,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0067.png
KR0068,00004815,,棘,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0068.png
KR0069,00004729,,灰,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0069.png
KR0070,00004642,,數?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0070.png
KR0071,00004468,,繼,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0071.png
KR0072,00004384,寃,冤,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0072.png
KR0073,00004342,,𥙿,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0073.png
KR0074,00004289,,桓,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0074.png
KR0075,00004244,,淫,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0075.png
KR0076,00004172,,弦,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0076.png
KR0077,00004138,,却,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0077.png
KR0078,00004127,,姬,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0078.png
KR0079,00004081,,肉,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0079.png
KR0080,00004068,𫟍,苑,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0080.png
KR0081,00003968,葛,葛,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0081.png
KR0082,00003955,,𣣔,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0082.png
KR0083,00003913,,𥿄,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0083.png
KR0084,00003879,,歌?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0084.png
KR0085,00003787,,足,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0085.png
KR0086,00003742,𢙣,悪,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0086.png
KR0087,00003677,𥘿,秦,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0087.png
KR0088,00003631,,耶,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0088.png
KR0089,00003625,𦵏,葬,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0089.png
KR0090,00003609,𧰼,象,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0090.png
KR0091,00003596,,稱,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0091.png
KR0092,00003573,𨹧,陵,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0092.png
KR0093,00003476,,絲,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0093.png
KR0094,00003423,,?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0094.png
KR0095,00003398,圡,土,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0095.png
KR0096,00003376,,權,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0096.png
KR0097,00003368,,蜜,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0097.png
KR0098,00003338,,允,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0098.png
KR0099,00003274,,慨,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0099.png
KR0100,00003218,,軌,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0100.png
KR0101,00003183,,監,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0101.png
KR0102,00003178,弊,弊,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0102.png
KR0103,00003135,,撰,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0103.png
KR0104,00003134,,憂,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0104.png
KR0105,00003103,,誼,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0105.png
KR0106,00003103,,恒,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0106.png
KR0107,00003102,,釵,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0107.png
KR0108,00003076,,奮?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0108.png
KR0109,00002990,,襟?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0109.png
KR0110,00002983,,曄?,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0110.png
KR0111,00002929,,忘,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0111.png
KR0112,00002891,,黍,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0112.png
KR0113,00002857,,脩,https://github.com/kanripo/KR-Gaiji/raw/master/images/KR0113.png
